identifier	publicationType	full_reference	primaryTitle	title	pageStart	pageEnd	volume	publisher	authorList	editorList	created	language	uri	doi
R157	journal article		Amphibia-Reptilia	A new species of montane rain frog, Genus Eleutherodactylus (Leptodactylus), from Guerrero, México	253	260	5		Savage, J.M.		1984	en		
R158	book		The Amphibians and Reptiles of Costa Rica: A herpetofauna between Two Continents, between Two Seas					The University of Chicago Press	Savage, J.M.		2002	en		
R159	journal article		Zoological Series of Field Museum of Natural History	Guatemalan salamanders of the genus Oedipus	135	166	20		Schmidt, K.P.		1936	en		
R160	journal article		Herpetologica	Report on a Small Collection of Amphibians from Veracruz, with a Description of a New Species of Pseudoeurycea	81	85	11		Shannon, F.A.|Werler, J.E.		1955	en	http://www.jstor.org/stable/3889965	
R161	journal article		Proceedings of the Biological Society of Washington	Mexican herpetological novelties	187	196	52		Smith, H.M.		1939	en	http://biostor.org/reference/68993	
R162	journal article		Journal of Herpetology	Hyla juanitae, a New Treefrog from Southern México, and Its Relationship to H. pinorum	5	15	6		Snyder, D.H.		1972	en	http://www.jstor.org/stable/1563087	
R163	journal article		Proceedings of the Biological Society of Washington	Description of a new solitary spadefoot (Scaphiopus hurterii) from texas, with other herpetological novelties	115	122	23		Strecker, J.K.		1910	en	http://biostor.org/reference/51868	
R164	journal article		Miscellaneous Publications. Museum of Zoology, University of Michigan	Taxonomic and Geographic comments on Guatemalan salamanders of the genus Oedipus	1	33	56		Stuart, L.C.		1943	en		
R165	journal article		University of Kansas Science Bulletin	Notes on the herpetological fauna of the Mexican state of Sinaloa	505	537	24		Taylor, E.H.		1936	en	http://biostor.org/reference/1050	
R166	journal article		University of Kansas Science Bulletin	Concerning Mexican salamanders	259	313	25		Taylor, E.H.		1938	en	http://biostor.org/reference/1053	
R167	journal article		University of Kansas Science Bulletin	New species of Mexican tailless Amphibia	385	405	25		Taylor, E.H.		1938	en	http://biostor.org/reference/1052	
R168	journal article		University of Kansas Science Bulletin	Frogs of the Hyla eximia group in Mexico, with descriptions of two new species	421	445	25		Taylor, E.H.		1938	en	http://biostor.org/reference/1057	
R169	journal article		University of Kansas Science Bulletin	New salamanders from Mexico, with a discussion of certain known forms	407	431	26		Taylor, E.H.		1939	en	http://biostor.org/reference/1076	
R170	journal article		University of Kansas Science Bulletin	New species of Mexican Anura	385	405	26		Taylor, E.H.		1940	en	http://biostor.org/reference/1072	
R171	journal article		Copeia	A New Frog from the Tarahumara Mountains of Mexico	250	253	1940		Taylor, E.H.		1940	en	http://www.jstor.org/stable/1438581	
